,day_week_name,direction,hour,speed_average
149,Saturday,NORTH-SOUTH,9,26.063277270153645
150,Saturday,NORTH-SOUTH,15,23.285018341648662
151,Saturday,NORTH-SOUTH,18,23.804882682861294
152,Saturday,NORTH-SOUTH,3,39.54005361017711
153,Saturday,NORTH-SOUTH,22,32.09794867795682
154,Saturday,NORTH-SOUTH,1,37.17143612695892
155,Saturday,NORTH-SOUTH,21,30.23652996948089
156,Saturday,NORTH-SOUTH,11,22.013492351893696
157,Saturday,NORTH-SOUTH,2,38.12046974628406
158,Saturday,NORTH-SOUTH,13,20.49112783776786
159,Saturday,NORTH-SOUTH,10,23.721423034350074
160,Saturday,NORTH-SOUTH,4,39.05871346215261
161,Saturday,NORTH-SOUTH,0,35.61850423868361
162,Saturday,NORTH-SOUTH,20,27.529250761360053
163,Saturday,NORTH-SOUTH,14,22.170196566956
164,Saturday,NORTH-SOUTH,23,33.774819153343614
165,Saturday,NORTH-SOUTH,8,28.093270348833066
166,Saturday,NORTH-SOUTH,19,24.84636904753114
167,Saturday,NORTH-SOUTH,5,34.79110862484338
