,year,month_name,hour,speed_average
411,2021,June,20,32
412,2021,June,2,46
413,2021,June,21,34
414,2021,June,13,25
415,2021,June,8,28
416,2021,June,0,43
417,2021,June,23,41
418,2021,June,17,27
419,2021,June,14,26
420,2021,June,7,30
421,2021,June,12,25
422,2021,June,15,27
423,2021,June,6,35
424,2021,June,18,27
425,2021,June,19,29
426,2021,June,3,46
427,2021,June,4,45
428,2021,June,16,27
429,2021,June,11,25
430,2021,June,5,41
431,2021,June,1,45
432,2021,July,2,47
433,2021,July,10,27
434,2021,July,21,35
435,2021,July,5,41
436,2021,July,9,27
437,2021,July,6,36
438,2021,July,12,25
439,2021,July,1,46
440,2021,July,11,26
441,2021,July,0,44
442,2021,July,3,47
443,2021,July,8,29
444,2021,July,4,46
445,2021,July,18,28
446,2021,July,22,38
447,2021,July,20,32
448,2021,July,23,41
449,2021,July,15,28
450,2021,July,17,28
451,2021,July,14,27
452,2021,July,19,29
453,2021,July,13,25
454,2021,July,16,28
455,2021,July,7,31
456,2020,July,13,30
457,2020,July,21,35
458,2020,July,14,30
459,2020,July,6,35
460,2020,July,16,29
461,2020,July,9,30
462,2020,July,19,30
463,2020,July,5,40
464,2020,July,15,30
465,2020,July,10,29
466,2020,July,3,43
467,2020,July,4,42
468,2020,July,12,29
469,2020,July,7,32
470,2020,July,11,29
471,2020,July,20,32
472,2020,July,1,43
473,2020,July,0,42
474,2020,July,18,28
475,2020,July,22,38
476,2020,July,23,41
477,2020,July,2,43
478,2020,July,8,30
479,2020,July,17,28
480,2022,July,11,26
481,2022,July,1,40
482,2022,July,7,27
483,2022,July,15,27
484,2022,July,5,36
485,2022,July,19,27
486,2022,July,18,24
487,2022,July,6,32
488,2022,July,12,25
489,2022,July,4,40
490,2022,July,8,27
491,2022,July,13,25
492,2022,July,0,39
493,2022,July,20,31
494,2022,July,22,36
495,2022,July,14,27
496,2022,July,10,26
497,2022,July,16,26
498,2022,July,23,38
499,2022,July,3,41
500,2022,July,9,27
501,2022,July,17,25
502,2022,July,2,40
503,2022,July,21,33
504,2021,August,3,47
505,2021,August,13,26
506,2021,August,10,28
507,2021,August,18,26
508,2021,August,16,27
509,2021,August,5,41
510,2021,August,2,46
511,2021,August,6,35
512,2021,August,11,28
513,2021,August,15,27
514,2021,August,12,27
515,2021,August,8,29
516,2021,August,20,32
517,2021,August,17,26
518,2021,August,14,26
519,2021,August,19,29
520,2021,August,22,38
521,2021,August,4,46
522,2021,August,0,44
523,2021,August,21,35
524,2021,August,23,42
525,2021,August,7,30
526,2021,August,9,28
527,2021,August,1,46
528,2022,August,19,24
529,2022,August,15,25
530,2022,August,20,29
531,2022,August,12,24
532,2022,August,16,23
533,2022,August,9,24
534,2022,August,2,40
535,2022,August,0,39
536,2022,August,23,37
537,2022,August,22,35
538,2022,August,18,21
539,2022,August,4,39
540,2022,August,21,32
541,2022,August,10,25
542,2022,August,6,28
543,2022,August,3,41
544,2022,August,7,24
545,2022,August,1,40
546,2022,August,8,24
547,2022,August,17,22
548,2022,August,5,34
549,2022,August,11,25
550,2022,August,13,24
